DateTimeUTC,StationID,Longitude,Latitude,StationName,ClimateID,Year,Month,Day,TimeUTC,TempC,TempFlag,DewPointTempC,DewPointTempFlag,RelHum,RelHumFlag,WindDir10sdeg,WindDirFlag,WindSpdkmh,WindSpdFlag,Visibilitykm,VisibilityFlag,StnPresskPa,StnPressFlag,Hmdx,HmdxFlag,WindChill,WindChillFlag,Weather,PrecipAmountmm,PrecipAmountFlag,Location
2022-06-04 15:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,6,4,15:00,17.0,,-2.5,,26.0,,13.0,,27.0,,,,96.91,,,,,,,0.0,,Fortmc
2022-05-19 01:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,5,19,01:00,15.9,,-2.2,,29.0,,6.0,,4.0,,,,95.91,,,,,,,0.0,,Fortmc
2022-09-16 00:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,9,16,00:00,21.8,,9.5,,46.0,,16.0,,19.0,,,,96.92,,,,,,,0.0,,Fortmc
2022-12-09 23:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,12,9,23:00,-5.0,,-9.3,,72.0,,20.0,,12.0,,,,96.09,,,,-10.0,,,0.0,,Fortmc
2022-06-30 16:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,6,30,16:00,14.6,,1.2,,40.0,,33.0,,15.0,,,,97.3,,,,,,,0.0,,Fortmc
2022-06-15 09:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,6,15,09:00,14.2,,12.0,,87.0,,30.0,,17.0,,,,95.91,,,,,,,0.0,,Fortmc
2022-04-15 07:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,4,15,07:00,-5.9,,-10.8,,68.0,,4.0,,6.0,,,,97.92,,,,-9.0,,,0.0,,Fortmc
2022-08-25 08:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,8,25,08:00,17.4,,13.0,,75.0,,23.0,,13.0,,,,97.3,,,,,,,0.0,,Fortmc
2022-06-06 20:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,6,6,20:00,21.5,,2.9,,29.0,,15.0,,20.0,,,,97.14,,,,,,,0.0,,Fortmc
2022-08-14 18:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,8,14,18:00,22.9,,17.1,,70.0,,25.0,,14.0,,,,96.74,,28.0,,,,,0.0,,Fortmc
2022-09-13 09:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,9,13,09:00,5.5,,2.4,,81.0,,10.0,,9.0,,,,97.38,,,,,,,0.0,,Fortmc
2022-08-30 18:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,8,30,18:00,23.4,,14.2,,56.0,,25.0,,13.0,,,,96.77,,27.0,,,,,0.0,,Fortmc
2022-12-07 01:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,12,7,01:00,-30.0,,-33.3,,73.0,,13.0,,8.0,,,,97.36,,,,-38.0,,,0.0,,Fortmc
2022-07-15 08:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,7,15,08:00,13.8,,8.1,,68.0,,21.0,,14.0,,,,96.78,,,,,,,0.0,,Fortmc
2022-01-25 23:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,1,25,23:00,1.0,,-0.9,,87.0,,26.0,,31.0,,,,95.19,,,,,,,0.0,,Fortmc
2022-12-06 02:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,12,6,02:00,-26.0,,-30.0,,69.0,,35.0,,15.0,,,,97.67,,,,-36.0,,,0.0,,Fortmc
2022-07-15 12:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,7,15,12:00,11.6,,8.0,,79.0,,19.0,,2.0,,,,96.89,,,,,,,0.0,,Fortmc
2022-07-25 04:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,7,25,04:00,14.3,,8.5,,68.0,,25.0,,11.0,,,,96.89,,,,,,,0.0,,Fortmc
2022-01-09 01:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,1,9,01:00,-25.9,,-30.0,,68.0,,25.0,,14.0,,,,97.82,,,,-36.0,,,0.0,,Fortmc
2022-10-17 20:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,10,17,20:00,,,,,,,,,,,,,,,,,,,,,,Fortmc
2022-12-31 10:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,12,31,10:00,-11.5,,-12.9,,89.0,,8.0,,6.0,,,,95.59,,,,-15.0,,,0.0,,Fortmc
2022-01-17 12:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,1,17,12:00,-15.8,,-18.0,,83.0,,8.0,,9.0,,,,96.22,,,,-22.0,,,0.3,,Fortmc
2022-12-14 10:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,12,14,10:00,-7.8,,-9.5,,87.0,,31.0,,14.0,,,,97.54,,,,-14.0,,,0.0,,Fortmc
2022-04-15 13:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,4,15,13:00,-11.3,,-12.9,,88.0,,16.0,,3.0,,,,97.97,,,,-13.0,,,0.0,,Fortmc
2022-08-23 20:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,8,23,20:00,21.1,,12.8,,59.0,,7.0,,10.0,,,,97.73,,,,,,,0.0,,Fortmc
2022-02-02 13:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,2,2,13:00,-35.3,,-38.8,,70.0,,0.0,,1.0,,,,99.05,,,,-37.0,,,0.0,,Fortmc
2022-03-04 13:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,3,4,13:00,-11.9,,-18.7,,57.0,,9.0,,6.0,,,,97.99,,,,-16.0,,,0.0,,Fortmc
2022-10-05 11:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,10,5,11:00,-1.6,,-2.0,,98.0,,3.0,,1.0,,,,98.55,,,,-2.0,,,0.9,,Fortmc
2022-07-13 03:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,7,13,03:00,25.7,,15.3,,53.0,,1.0,,6.0,,,,96.17,,30.0,,,,,0.0,,Fortmc
2022-05-24 04:25:00+00:00,0,-111.21,56.65,FORT MCMURRAY CS,3062696,2022,5,24,04:00,9.2,,-4.5,,38.0,,5.0,,12.0,,,,97.11,,,,,,,0.0,,Fortmc
